PRODUCT,URL,MAX_PRICE
Pocket Projector,https://www.amazon.com/KODAK-Luma-Pocket-Projector-Built/dp/B07RLXZ88F/,150
Rice Cooker,https://www.amazon.com/Toshiba-TRCS01-Uncooked-One-Touch-Porridge/dp/B0838SMXFZ/,80
